"category","Avg. Rating","No. of Podcasts","No. of Listeners","Saturation Ratio"
"arts",4.73003553533461,8940,134514,15
"arts-books",4.68276553106212,1968,29940,15
"arts-design",4.81292116803936,596,9349,16
"arts-fashion-beauty",4.65154314651338,603,14613,24
"arts-food",4.78274230225555,1064,16271,15
"arts-performing-arts",4.70553267800213,1797,30112,17
"arts-visual-arts",4.82277324235409,1131,16414,15
"buddhism",4.77604976671851,141,1286,9
"business",4.84097749991545,12054,206977,17
"business-careers",4.89090875016398,2432,53359,22
"business-entrepreneurship",4.90829089323054,3576,77953,22
"business-investing",4.6868519389245,1389,40409,29
"business-management",4.86687407892582,1040,18321,18
"business-marketing",4.93723348017621,1395,28375,20
"business-non-profit",4.90122481232714,504,2531,5
"christianity",4.82369874003115,7942,84764,11
"comedy",4.62743794454928,12453,344450,28
"comedy-comedy-interviews",4.67966332791442,1070,38138,36
"comedy-improv",4.74508050089445,795,16770,21
"comedy-stand-up",4.81539533263671,230,5742,25
"education",4.81469189526642,12617,217848,17
"education-courses",4.76311537218572,820,9283,11
"education-how-to",4.80208498703498,1053,18897,18
"education-language-learning",4.6650826839004,429,5261,12
"education-self-improvement",4.87745006257576,5781,101477,18
"fiction",4.60545437961752,1398,32891,24
"fiction-comedy-fiction",4.83547039331508,431,6941,16
"fiction-drama",4.53986574983628,454,12216,27
"fiction-science-fiction",4.57083950095158,479,9458,20
"government",4.43399188800209,938,15286,16
"health-fitness",4.79117137776114,8115,170944,21
"health-fitness-alternative-health",4.7905537858368,1267,32648,26
"health-fitness-fitness",4.86471044361915,707,24503,35
"health-fitness-medicine",4.80572528668285,839,11947,14
"health-fitness-mental-health",4.83615694608737,2390,49877,21
"health-fitness-nutrition",4.88068393589266,560,21464,38
"health-fitness-sexuality",4.48319460541566,626,18982,30
"hinduism",4.86036036036036,36,222,6
"history",4.52731497418244,1657,58100,35
"islam",4.82879612825166,241,1653,7
"judaism",4.77967332123412,287,2755,10
"kids-family",4.74748332796313,3108,102417,33
"kids-family-education-for-kids",4.71572492334647,238,11415,48
"kids-family-parenting",4.79934740232223,1029,23598,23
"kids-family-pets-animals",4.85338151781105,194,1937,10
"kids-family-stories-for-kids",4.73614032451923,274,26624,97
"leisure",4.76181134903404,6360,90739,14
"leisure-animation-manga",4.8119139547711,247,1813,7
"leisure-automotive",4.71554397717405,348,8061,23
"leisure-aviation",4.83161325366649,103,1841,18
"leisure-crafts",4.86166253101737,73,1612,22
"leisure-games",4.77999562267455,1350,22845,17
"leisure-hobbies",4.78948259801846,1594,23618,15
"leisure-home-garden",4.82524822695035,234,3525,15
"leisure-video-games",4.70446241044969,1714,34757,20
"music",4.77025114661302,5825,58651,10
"music-music-commentary",4.82723475355054,892,11970,13
"music-music-history",4.75446428571429,320,4256,13
"music-music-interviews",4.80055618938962,770,14024,18
"news",4.30395879139561,5956,176468,30
"news-business-news",4.62436177972283,465,5484,12
"news-daily-news",3.95891171571349,317,14408,45
"news-entertainment-news",4.66070425577879,874,23145,26
"news-news-commentary",4.49912829453389,710,29253,41
"news-politics",4.20552290921478,1164,46968,40
"news-sports-news",4.47937352245863,741,16920,23
"news-tech-news",4.41794212937102,528,8951,17
"religion",4.81404736275565,290,3716,13
"religion-spirituality",4.83294166724605,12175,143830,12
"science",4.52402594537352,1943,45326,23
"science-astronomy",4.52837977296182,54,969,18
"science-chemistry",4.87974683544304,17,158,9
"science-earth-sciences",4.75149105367793,86,1006,12
"science-life-sciences",4.61936936936937,161,1332,8
"science-mathematics",4.75155279503106,16,161,10
"science-natural-sciences",4.48010025062657,422,9975,24
"science-nature",4.80645161290323,239,3069,13
"science-physics",4.63894967177243,18,457,25
"science-social-sciences",4.41966129698472,419,12105,29
"society-culture",4.55076937284281,18698,433145,23
"society-culture-documentary",4.29928564173748,726,29537,41
"society-culture-personal-journals",4.73608419772788,3532,78957,22
"society-culture-philosophy",4.76701824574165,1350,32994,24
"society-culture-places-travel",4.76110927940799,1461,27297,19
"society-culture-relationships",4.47324927776409,1769,44653,25
"spirituality",4.85713971735643,2297,45499,20
"sports",4.61471826330987,8380,172466,21
"sports-baseball",4.6495095454066,437,9481,22
"sports-basketball",4.61776801306969,719,17751,25
"sports-cricket",4.79518072289157,20,83,4
"sports-fantasy-sports",4.62924674378359,478,21958,46
"sports-football",4.65145636690023,966,34538,36
"sports-golf",4.78237051792829,167,6024,36
"sports-hockey",4.55193203617429,258,3649,14
"sports-rugby",4.98787878787879,35,165,5
"sports-running",4.8975893599335,152,6015,40
"sports-soccer",4.71441473988439,450,5536,12
"sports-swimming",4.89147286821705,18,129,7
"sports-tennis",4.56042031523643,38,571,15
"sports-volleyball",4.86138613861386,14,101,7
"sports-wilderness",4.79953128661823,594,21335,36
"sports-wrestling",4.58137745286649,412,10396,25
"technology",4.53282155394831,3227,47286,15
"true-crime",4.17256438331888,1255,157999,126
"tv-film",4.52119767936153,7704,167023,22
"tv-film-after-shows",4.39028171677066,596,26445,44
"tv-film-film-history",4.676417121137,306,6051,20
"tv-film-film-interviews",4.77148302148302,254,5772,23
"tv-film-film-reviews",4.75375280898876,1162,22250,19
"tv-film-tv-reviews",4.5473582310083,772,19627,25
